연번,상호명,주소,전화번호,주메뉴,수용인원,주차가능 대수,차랑현황(인승),데이터기준일
1,참우촌식당,경상북도 예천군 예천읍 시장로 152,054-655-4288,"한우등심, 한우갈비",300,20,12,2022-11-19
2,가자한우물회,경상북도 예천군 예천읍 충효로 390-3,054-652-9595,한우물회,150,5,12,2022-11-19
3,황소고집,"경상북도 예천군 예천읍 맛고을길 55, 1층",054-655-9293,"한우등심, 한우갈비",100,5,13,2022-11-19
4,산호식당,경상북도 예천군 예천읍 맛고을길 32,054-654-2277,냉면전문점,100,15,,2022-11-19
5,예천궁,경상북도 예천군 예천읍 효자로 64-1,054-652-9898,"황태구이정식,비빔밥",100,15,,2022-11-19
6,청기와,경상북도 예천군 예천읍 군청길 44,054-652-7754,"보쌈,감자탕",100,,,2022-11-19
7,백수식당,경상북도 예천군 예천읍 충효로 284,054-652-7777,"소고기육회,육회비빔밥",100,10,,2022-11-19
8,오르비,경상북도 예천군 예천읍 시장로 112-1,054-654-3053,"한우불고기,한우등심",60,,,2022-11-19
9,제주복집,경상북도 예천군 예천읍 이미기길 71,054-652-1005,"복어탕,복불고기",100,10,12,2022-11-19
10,김서방숯불,경상북도 예천군 예천읍 맛고을길 34,054-652-0903,"한우불고기,한우등심",150,15,12,2022-11-19
11,신라식당,경상북도 예천군 예천읍 군청길 37,054-655-8400,"쌈밥정식,소불고기전골",150,,,2022-11-19
12,흥부네토종한방순대,경상북도 예천군 용궁면 용궁로 134,054-653-6220,"순대,순대국밥,오징어불고기",60,20,,2022-11-19
13,용궁순대,경상북도 예천군 용궁면 용궁로 158,054-653-6057,"순대,순대국밥,오징어불고기",100,15,,2022-11-19
14,백번고기집본점,경상북도 예천군 풍양면 상풍로 1445,054-653-7800,"한우등심, 한우갈비,곰탕",100,10,15,2022-11-19
15,청호한우촌,경상북도 예천군 지보면 지보로 176-11,054-653-3237,"한우등심, 한우갈비,정식",150,20,35,2022-11-19
16,언덕숯불,경상북도 예천군 예천읍 충효로 512-5,054-653-2828,"한우등심,한우불고기,돼지갈비",140,30,25,2022-11-19
17,낙천갈비,경상북도 예천군 예천읍 맛고을길 50-3,054-654-3432,"마늘양념갈매기살,돼지갈비",100,,,2022-11-19
18,송담추어탕,경상북도 예천군 예천읍 봉덕로 41,054-654-4949,추어탕전문,150,2,,2022-11-19
19,한국관복어집,경상북도 예천군 예천읍 군청길 42-4,054-654-3369,"복어탕,복불고기",76,,,2022-11-19
20,바다양푼이동태탕,경상북도 예천군 예천읍 효자로 52,054-654-1550,동태탕전문,60,,,2022-11-19
21,숲속이야기,경상북도 예천군 예천읍 대심1길 115,054-654-9289,쌈제육정식,140,20,25,2022-11-19
22,에밀테라스,경상북도 예천군 예천읍 시장로 112-1,054-652-3053,"스테이크,파스타",48,,,2022-11-19
23,새대구숯불구이,경상북도 예천군 예천읍 시장로 61,054-654-1547,소불고기,80,,,2022-11-19
24,화요옥 경북도청점,경상북도 예천군 호명면 양지4길 20-5,054-654-5600,"불고기,만두전골",80,5,,2022-11-19
